,Hours,Content Adgroup,Content,ContentID,ContentType,ContentSite,Adgroup,Adgroup Name,Adgroup Type,SEM Keyword,Keyword,KeywordType,Campaign Clicks,Order Value,Visitors,New Visitors,Bounces,Entry Rate %,Exit Rate %,OP Visits w Catalogue %,OP Visits w Search %,OP Visits w Product %,OP Visits w step Cart %,Campaign Lifecycle Contacts
0,0,Sitelinks,Sitelinks,Sitelinks,NA,NA,NA,NA,NA,-1,NA,NA,98,-1.0,57,34,16,82.76,55.17,98.28,8.62,5.17,5.17,-1
1,0,Sitelinks,Sitelinks,Sitelinks,NA,NA,NA,NA,NA,-1,NA,NA,-1,224000.0,-1,-1,-1,0,0,0,0,0,0,1
2,0,[B_060070]: Nike {ID},B_060070,B_060070,NA,NA,Nike,Nike,NA,nike (Exact),nike ,Exact,24,-1.0,19,14,2,78.95,15.79,100,0,10.53,0,-1
3,0,[B_060070]: Nike {ID},B_060070,B_060070,NA,NA,Nike,Nike,NA,-1,NA,NA,14,-1.0,12,9,8,100,75,100,0,0,0,-1
4,0,[B_060070]: Nike {ID},B_060070,B_060070,NA,NA,Nike,Nike,NA,nike (Phrase),nike ,Phrase,15,-1.0,13,8,5,84.62,69.23,100,0,0,0,-1
5,0,[B_060070]: Nike {ID},B_060070,B_060070,NA,NA,Nike,Nike,NA,-1,NA,NA,7,-1.0,3,2,1,100,66.67,100,0,33.33,0,-1
6,0,[B_060070]: Nike {ID},B_060070,B_060070,NA,NA,Nike,Nike,NA,nike shop (Exact),nike shop ,Exact,2,-1.0,2,2,1,100,50,100,0,0,0,-1
7,0,[B_060070]: Nike {ID},B_060070,B_060070,NA,NA,Nike,Nike,NA,nike ori (Exact),nike ori ,Exact,1,-1.0,1,0,0,100,0,100,0,0,0,-1
8,0,[B_060603]: Adidas {ID},B_060603,B_060603,NA,NA,Adidas,Adidas,NA,adidas (Exact),adidas ,Exact,25,-1.0,22,13,8,77.27,54.55,100,4.55,0,0,-1
9,0,[B_060603]: Adidas {ID},B_060603,B_060603,NA,NA,Adidas,Adidas,NA,adidas (Phrase),adidas ,Phrase,16,-1.0,16,12,7,87.5,43.75,100,0,0,0,-1
10,0,[B_060603]: Adidas {ID},B_060603,B_060603,NA,NA,Adidas,Adidas,NA,+adidas (Broad),adidas ,Broad,6,-1.0,4,2,1,75,75,100,25,0,0,-1
11,0,[B_060603]: Adidas {ID},B_060603,B_060603,NA,NA,Adidas,Adidas,NA,adidas originals (Exact),adidas originals ,Exact,5,-1.0,3,2,0,66.67,0,100,33.33,0,0,-1
12,0,[B_063279]: Hello Kitty {ID},B_063279,B_063279,NA,NA,Hello Kitty,Hello Kitty,NA,+Hello +Kitty (Broad),hello kitty ,Broad,37,-1.0,36,23,23,91.67,72.22,100,11.11,0,0,-1
13,0,[B_063279]: Hello Kitty {ID},B_063279,B_063279,NA,NA,Hello Kitty,Hello Kitty,NA,Hello Kitty (Exact),hello kitty ,Exact,1,-1.0,1,0,0,0,100,100,0,0,0,-1
14,0,[B_063334]: Macbeth {ID},B_063334,B_063334,NA,NA,Macbeth,Macbeth,NA,+Macbeth (Broad),macbeth ,Broad,25,-1.0,17,10,6,82.35,52.94,100,11.76,11.76,0,-1
15,0,[B_063334]: Macbeth {ID},B_063334,B_063334,NA,NA,Macbeth,Macbeth,NA,Macbeth (Exact),macbeth ,Exact,17,-1.0,13,7,5,92.31,38.46,100,15.38,15.38,15.38,-1
16,0,[B_060603|geo_01]: Adidas indonesia {ID},B_060603|geo_01,B_060603,geo_01,NA,Adidas indonesia,Adidas indonesia,NA,adidas indonesia (Broad),adidas indonesia ,Broad,20,-1.0,14,9,4,78.57,64.29,100,0,7.14,0,-1
17,0,[B_060603|geo_01]: Adidas indonesia {ID},B_060603|geo_01,B_060603,geo_01,NA,Adidas indonesia,Adidas indonesia,NA,adidas indonesia (Exact),adidas indonesia ,Exact,13,-1.0,11,9,1,81.82,36.36,100,18.18,0,0,-1
18,0,[B_060603|geo_01]: Adidas indonesia {ID},B_060603|geo_01,B_060603,geo_01,NA,Adidas indonesia,Adidas indonesia,NA,+adidas +indonesia (Broad),adidas indonesia ,Broad,7,-1.0,2,1,0,100,50,100,0,0,0,-1
19,0,[B_060603|geo_01]: Adidas indonesia {ID},B_060603|geo_01,B_060603,geo_01,NA,Adidas indonesia,Adidas indonesia,NA,adidas indonesia (Phrase),adidas indonesia ,Phrase,2,-1.0,2,0,0,50,50,100,50,0,0,-1
20,0,[B_060603|geo_01]: Adidas indonesia {ID},B_060603|geo_01,B_060603,geo_01,NA,Adidas indonesia,Adidas indonesia,NA,adidas online store indonesia (Exact),adidas online store indonesia ,Exact,1,-1.0,1,1,0,100,0,100,100,0,0,-1
21,0,[B_060603|geo_01]: Adidas indonesia {ID},B_060603|geo_01,B_060603,geo_01,NA,Adidas indonesia,Adidas indonesia,NA,adidas indonesia online store (Exact),adidas indonesia online store ,Exact,1,-1.0,1,1,0,100,0,100,100,0,0,-1
22,0,[B_060603|geo_01]: Adidas indonesia {ID},B_060603|geo_01,B_060603,geo_01,NA,Adidas indonesia,Adidas indonesia,NA,adidas indonesia store (Exact),adidas indonesia store ,Exact,1,-1.0,1,1,0,0,100,100,0,0,0,-1
23,0,[B_060070]: Nike {ID} (Mobile),B_060070,B_060070,NA,NA,Nike (Mobile),Nike,Mobile,nike (Phrase),nike ,Phrase,23,-1.0,19,18,9,100,63.16,100,26.32,0,0,-1
24,0,[B_060070]: Nike {ID} (Mobile),B_060070,B_060070,NA,NA,Nike (Mobile),Nike,Mobile,nike (Exact),nike ,Exact,2,-1.0,2,1,2,100,100,100,0,0,0,-1
25,0,[B_060070]: Nike {ID} (Mobile),B_060070,B_060070,NA,NA,Nike (Mobile),Nike,Mobile,www nike com (Exact),www nike com ,Exact,2,-1.0,1,0,0,0,100,100,0,0,0,-1
26,0,[B_060973]: Oakley {ID},B_060973,B_060973,NA,NA,Oakley,Oakley,NA,+oakley (Broad),oakley ,Broad,15,-1.0,13,8,3,92.31,38.46,100,7.69,0,0,-1
27,0,[B_060973]: Oakley {ID},B_060973,B_060973,NA,NA,Oakley,Oakley,NA,oakley (Exact),oakley ,Exact,14,-1.0,9,7,3,80,70,100,0,0,0,-1
28,0,[B_060070|geo_01]: Nike indonesia {ID},B_060070|geo_01,B_060070,geo_01,NA,Nike indonesia,Nike indonesia,NA,-1,NA,NA,23,-1.0,18,10,8,88.89,72.22,100,5.56,0,0,-1
29,0,[B_060070|geo_01]: Nike indonesia {ID},B_060070|geo_01,B_060070,geo_01,NA,Nike indonesia,Nike indonesia,NA,nike indonesia store (Exact),nike indonesia store ,Exact,1,-1.0,1,1,1,100,100,100,0,0,0,-1
30,0,[B_060070|geo_01]: Nike indonesia {ID},B_060070|geo_01,B_060070,geo_01,NA,Nike indonesia,Nike indonesia,NA,nike store indonesia (Exact),nike store indonesia ,Exact,2,-1.0,1,1,0,100,0,100,0,0,0,-1
31,0,[B_063207]: Converse {ID} (Test),B_063207,B_063207,NA,NA,Converse (Test),Converse,Test,converse (Phrase),converse ,Phrase,12,-1.0,10,6,5,80,80,100,0,0,0,-1
32,0,[B_063207]: Converse {ID} (Test),B_063207,B_063207,NA,NA,Converse (Test),Converse,Test,+converse (Broad),converse ,Broad,10,-1.0,9,5,2,55.56,33.33,100,33.33,0,0,-1
33,0,[B_063207]: Converse {ID} (Test),B_063207,B_063207,NA,NA,Converse (Test),Converse,Test,converse original (Exact),converse original ,Exact,5,-1.0,4,1,1,75,50,100,25,0,0,-1
34,0,[B_063207]: Converse {ID} (Test),B_063207,B_063207,NA,NA,Converse (Test),Converse,Test,converse original (Phrase),converse original ,Phrase,3,-1.0,2,2,0,50,50,100,0,0,0,-1
35,0,[B_063207]: Converse {ID} (Test),B_063207,B_063207,NA,NA,Converse (Test),Converse,Test,converse (Broad),converse ,Broad,1,-1.0,1,1,0,0,0,100,0,0,0,-1
36,0,[B_063207]: Converse {ID} (Test),B_063207,B_063207,NA,NA,Converse (Test),Converse,Test,harga converse (Exact),harga converse ,Exact,1,-1.0,1,0,0,0,0,100,0,0,0,-1
37,0,[B_061354]: Rip Curl {ID},B_061354,B_061354,NA,NA,Rip Curl,Rip Curl,NA,+rip +curl (Broad),rip curl ,Broad,13,-1.0,12,9,5,83.33,58.33,100,0,0,8.33,-1
38,0,[B_061354]: Rip Curl {ID},B_061354,B_061354,NA,NA,Rip Curl,Rip Curl,NA,rip curl (Exact),rip curl ,Exact,5,-1.0,4,2,1,100,50,100,0,0,0,-1
39,0,[B_063348]: Charles And Keith {ID} (Test),B_063348,B_063348,NA,NA,Charles And Keith (Test),Charles And Keith,Test,+charles +and +keith (Broad),charles and keith ,Broad,11,-1.0,10,6,5,100,60,100,10,0,0,-1
40,0,[B_063348]: Charles And Keith {ID} (Test),B_063348,B_063348,NA,NA,Charles And Keith (Test),Charles And Keith,Test,charles and keith (Exact),charles and keith ,Exact,3,-1.0,3,3,2,100,66.67,100,0,0,0,-1
41,0,[B_063208|geo_01]: Vans indonesia {ID} (Test),B_063208|geo_01,B_063208,geo_01,NA,Vans indonesia (Test),Vans indonesia,Test,vans indonesia (Broad),vans indonesia ,Broad,7,-1.0,6,5,0,66.67,33.33,100,33.33,0,0,-1
42,0,[B_063208|geo_01]: Vans indonesia {ID} (Test),B_063208|geo_01,B_063208,geo_01,NA,Vans indonesia (Test),Vans indonesia,Test,vans indonesia (Exact),vans indonesia ,Exact,5,-1.0,3,3,1,100,66.67,100,33.33,0,0,-1
43,0,[B_063208|geo_01]: Vans indonesia {ID} (Test),B_063208|geo_01,B_063208,geo_01,NA,Vans indonesia (Test),Vans indonesia,Test,+vans +indonesia (Broad),vans indonesia ,Broad,3,-1.0,3,1,2,100,66.67,100,0,0,0,-1
44,0,[B_063208|geo_01]: Vans indonesia {ID} (Test),B_063208|geo_01,B_063208,geo_01,NA,Vans indonesia (Test),Vans indonesia,Test,vans store indonesia (Exact),vans store indonesia ,Exact,1,-1.0,1,1,1,100,100,100,0,0,0,-1
45,0,[B_063208|geo_01]: Vans indonesia {ID} (Test),B_063208|geo_01,B_063208,geo_01,NA,Vans indonesia (Test),Vans indonesia,Test,vans indonesia store (Exact),vans indonesia store ,Exact,1,-1.0,1,0,0,100,0,100,0,0,0,-1
