Days,Page Impressions,Visits,Bounces,Country
2012-12-15,692041,87973,31500,ID
2012-12-16,602356,78663,29298,ID
2012-12-17,730902,99356,37436,ID
2012-12-18,730071,97844,37199,ID
2012-12-19,774964,110446,43858,ID
2012-12-20,419256,44592,13961,ID
2012-12-21,320966,33692,10076,ID
2012-12-22,200992,18840,5170,ID
2012-12-15,377034,48646,20099,PH
2012-12-16,355399,46439,19454,PH
2012-12-17,401377,54256,22993,PH
2012-12-18,410299,54312,22796,PH
2012-12-19,406437,53949,23191,PH
2012-12-20,370144,49231,21096,PH
2012-12-21,387491,50771,22250,PH
2012-12-22,302968,44901,20557,PH
2012-12-23,275584,42305,20250,PH
2012-12-15,367143,69147,30222,VN
2012-12-16,334675,63702,28040,VN
2012-12-17,409260,77171,33642,VN
2012-12-18,427765,78221,33575,VN
2012-12-19,434781,79850,34300,VN
2012-12-20,463448,81361,34501,VN
2012-12-21,447964,81897,35242,VN
2012-12-22,368477,70352,31014,VN
2012-12-23,321891,61973,27521,VN
